autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Fernando N,"São Paulo, SP","Uma serra com um vista maravilhosa, fui em um dia claro, deu para ver praticamente até o mar, perigosa, vá devagar, nao perca a atenção e curta a vista.",dez de 2015,Que bela serra
farozecaca,"Joinville, SC","Maravilhoso lugar. Tranquilo, limpo e muito agradável. Comida caseira, pessoas atenciosas e clima fresco. Estrutura sem luxo mas com muita dedicação.",dez de 2015,Lugar para fugir do calor!
Leandro P,"Lages, SC","Ótima opção de lazer. Para quem gosta de dirigir então, é um passeio perfeito. Uma das estradas mais lindas da America do Sul.",ago de 2015,Lugar muito bonito.
Mariangela B,"Atibaia, SP","É até difícil de dizer, pois não há palavras para descrever o quão belo é esse lugar, a estrada é incrível. Sinuosa e repleta de natureza. Para quem gosta de contemplar, pode ficar horas a olhar! Quero voltar logo!!!",dez de 2015 • Casais,A vista dos meus sonhos
Marcelo S,"São Paulo, SP","Um passeio sensacional, vista maravilhosa de uma serra cravada na parede de um cânion.",dez de 2015 • Casais,Passeio maravilhoso
Drmaicon,"Camboriú, SC","local maravilhoso e único. Prefira dias claros, pois a visão é mais espetacular... se der sorte entre junho e setembro pode pegar neve",jul de 2015 • Casais,espetacular
Juarez C,"Indaial, SC","Uma escultura de projeto em um dos lugares mais fantasticos que já passei....incrivel lugar em um ambiente hostil, mais com detalhes de algo fantastico feito pelo homem. Tem pontos de paradas para olhar o orizonte.",dez de 2015,incrivel
Rodrigo_Herrero,"São Paulo, SP","Um dos passeios mais espetaculares de Santa Catarina! As tortuosas curvas da Serra do Rio do Rastro entregam um cenário belíssimo durante seu percurso, com a cereja do bolo da vista completa no seu topo, ao término do passeio. Cuidado só com os caminhões e ônibus no sentido contrário, há trechos que só passa um veículo. Mas é uma experiência fantástica, com muitas fotos para guardar de recordação.",ago de 2015 • Casais,Um lugar estupendo!
Samuel_Formento,"Blumenau, SC","O lugar é lindo pena que tem muito porco que visita e deixa tudo em por calhado com lixo jogado por todos os cantos. A vista é maravilhosa. Vc pode fazer lanche e beber sucos nas lanchonetes, além de comprar queijos salames e sucos.",dez de 2015 • Casais,Lugar lindo
Alexandre B,"Brusque, SC",só estando lá pra saber...a perfeição da natureza é incrível,jul de 2015,lugar mítico
Camila_qpl,"Palmas, TO","Lugar incrível, uma vista de tirar o fôlego. Muito sinuosa a pista mas todos andam devagar e com cuidado pois não  se enxerga quem  vem do lado contrário. Por ser muito estreita formam-se filas quando  há  caminhões. Geralmente a serra  está  coberta  por neblina . Segundo o rapaz da lojinha de souvenirs durante o inverno o tempo fica mais claro e limpo, mas tem o perigo da neve. Vale muito  a pena descer a serra.",dez de 2015 • Casais,Incrível! 
Gustavo T,"Maringá, PR","Passeio imperdível. De moto ou carro com certeza será uma das melhores visões em uma estrada que já teve. Se programe para ir em dia de sol e sem neblina, vale MUITOOOOOOOO a pena!",jun de 2015 • Casais,Maravilhosa!
tattyrs,"São Paulo, SP","É lindo! Vale a pena subir ou descer a serra! É bem sinalizada, as curvas são suaves sendo uma ou outra mais perigosa. ",dez de 2015 • Casais,Indescritível! 
Fernandayumi,"Curitiba, PR","A serra é muito bonita, mas possui curvas bem acentuadas. É importante estar bem atento aos caminhões que transitam lá, principalmente quando há neblina e a visibilidade é  reduzida. O caminho é cansativo pois tem muitas curvas, então é importante ir descansado. Quando visitei, dormi num hotel em criciuma e saí pela manhã para conhecer a serra. Outro ponto importante é ir em dia de sol, quando há neblina não dá pra ver muita coisa.",jan de 2015 • Família,Passeio ótimo
Sheila072015,"Jaraguá do Sul, SC","A serra e uma linda obra conjunta de Deus e do homem, lugar lindo, requer cuidado e consciência ao percorrer esse caminho, mas vale a pena a paisagem do mirante e estaziante",jan de 2015,Simplismnete linda
Luferosi,"Venâncio Aires, RS","Certamente não há outro lugar igual no Brasil, imagens de cartão postal. Pra ter um passeio perfeito precisa ter o clima como aliado, pois é muito comum estar fechado de neblina e não poder se ver nada, por vezes se torna arriscado fazer o trajeto.",dez de 2015 • Família,Um lugar incomparável
Claudia L,"Paraty, RJ",Estive pela segunda vez pela estrada da Serra do Rio do Rastro.,dez de 2015 • Casais,Impressionante
jeansc404,"Videira, SC","Lugar magnifico deveria ser a 8ª maravilha do mundo,suas curvas desafiam qualquer motorista, lugar para se visitar sem pressa .",dez de 2015 • Amigos,Obra prima
Juliana M,"Panambi, RS","Vale muito a pena ir... Você não precisa passar por toda a serra, dá para ir só uns km para dentro, até onde tem a vista mais bonita e depois voltar. Tem postos de informações turísticas, eles explicam direitinho.",jan de 2015,Vista fantástica
Gis32,"Passo Fundo, RS","Lugar lindo para visitar com amigos e ou familiares. Somente tem que cuidar como estará o tempo no dia da visita, pois pode acontecer de não conseguir ver nada.",dez de 2015 • Amigos,Serra Espetacular
Alexandre M,"Rio de Janeiro, RJ",A vista e maravilhosa.Otimo passeio para fazer emi grupo.Vale a pena a visita.Recomendo a todos passear e aproveitar o lugar.,dez de 2015 • Casais,Belo lugar
AlvesGi,"Curitiba, PR","Passeio fantástico, super recomendado.  Inclusive, tentem parar em todos os refúgios possíveis... uma vista mais linda que a outra!!! Afinal, se não estou enganada, são nada mais nada menos que 284 curvas. O nascer do sol é lindo. Passeio recomendado para fazer sem pressa, com tranquilidade!!!",dez de 2015 • Amigos,É muita curva!!!
David_E_Thais,"Belo Horizonte, MG","A Serra do Rastro realmente é espetacular. É um local afastado entre as cidades de Bom jardim e Lauro Muller. Como o clima da serra muda bastante, pode acontecer de chegar ao mirante e não ver absolutamente nada.",dez de 2015 • Casais,Lugar fantástico
FabMCP,"Joinville, SC","Vale muito a pena para conhecer a paisagem. Se possível, desça a serra caminhando (cuidado, pois é um pouco perigosa e sinuosa, cuidado para não ser atropelado!). Não possui atrativos gastronomicos e hoteis que se possa dizer que são bons. As redondezas possuem um ou dois resorts, porém a preços exorbitantes. Recomendo conhecer a paisagem e partir para comer e se hospedar nas cidades próximas.",set de 2015,Linda paisagem
pezao,"Florianópolis, SC","Este é, na minha opinião e na opinião de jornais ingleses, um dos lugares mais bonitos  do Brasil.",dez de 2015 • Amigos,todas as palavras são poucas para descrever
Vanac2010,"Florianópolis, SC","Uma bela vista das montanhas e da estrada repleta de curvas que margeia toda a encosta das montanhas. Possui um mirante no topo, do qual se tem a melhor vista. Lá há cafés e vendas que possuem queijos, salames e comidas regionais da serra.",dez de 2015 • Família,Belíssimo lugar!
Vilson S,"Colombo, PR","Lugar maravilhoso,nunca vi nada igual,lindas paisagens um lugar para ficar nas lembranças para sempre.Quero voltar em breve vale muito a pena.um sonho",nov de 2015,Serra Maravilhosa
Vitor Coelho,Santa Catarina,"Um dos lugares mais lindos do país com uma vista incrível, no entanto a pista estreita e inclinada não foi feita para iniciantes e a sinalização peca em não deixar isso BEM claro no começo e fim.",fev de 2015 • Amigos,"Extremamente lindo, mas perigoso para iniciantes"
Carlos Augusto,"Rio de Janeiro, RJ",Atenção muitos caminhões e não dá para ultrapassar.  Não dá nem para dois caminhões passarem ao mesmo tempo (um subindo e outro descendo).  Fiz um trecho de bike (PERIGOSO!!!),nov de 2015 • Casais,Estrada Linda
Fernanda F,75 contribuições,"Desci a serra de carro no final do dia, a estrada é bem sinuosa e é preciso ter muito cuidado, especialmente se há caminhões na pista. A paisagem é de tirar o fôlego, natureza majestosa, simplesmente lindo!",nov de 2015,Paisagens impressionantes.
Fatima T,"Niterói, RJ",A Serra do Rio do Rastro é um cartão postal da Serra Catarinense com mais de 1400 metros de altitude pode se dizer que estamos acima das nuvens. Com subidas íngremes e curvas fechadas como um cotovelo de moto conseguimos apreciar toda a sua beleza. No alto da Serra tem um mirante onde você tem como atração principal a vista do alto da serra e os Quatis que te cercam em busca de atenção. ,nov de 2015,Entre curvas e curvas
David L,"Petrópolis, RJ","Lugar lindo! Dirija com muito cuidado, pois o local é muito perigoso, várias curvas e com grande tráfego de caminhões....vários pontos onde vc tem de aguardar a passagem do veículo na direção oposta. Vale a pena o passeio pois o local é muito lindo! Não deixe de parar no mirante que existe ao término da subida.",nov de 2015 • A negócios,Impressionante
Cris M,"Itapema, SC","Um lugar maravilhoso, pra vc passar o dia, só falta um restaurante gostoso pra vc almoçar ou tomar um café, pois só vi na subida depois quase não se vê. Mas é um local muito bom pra vc conhecer.",jan de 2015,Lugar liiindo
Osadzuk,"Curitiba, PR","Lugar com uma vista incrível, ótimo passeio para tirar belas fotos. Para subir a serra de carro é um pouco perigoso. Tem algumas curvas que é necessário dar a vez para o veículo que está vindo na direção oposta passar. Mas vale a pena pela paisagem.",out de 2015 • Família,Excelente
756williamx,"Praia Grande, SP","Trecho de serra perigoso porém muito bonito, em determinados pontos da descida um carro tem de esperar o outro passar por conta de ser íngreme e bem acentuada.",dez de 2014 • A negócios,Famosa serra de pedra
Fernando-Andre87,"Porto Alegre, RS","Dirigir a estrada da Serra do Rio do Rastro é uma sensação muito boa, no meu caso eu desci ela, pois vim de Urubici. Mas quero programar para na próxima vez subir. No topo, onde localiza-se a polícia tem o mirante que oferece uma vista incrível. Tem quatis que ficam na volta que é possível alimentá-los e tirar foto dos mesmos. Só deve ter bastante cuidado na subida ou descida, pois em cada curva acaba dando uma trancada em função de muita gente querer parar nos acostamentos para tirar fotos.",nov de 2015 • A sós,Excelente
Tiago_CRS,"Cuiabá, MT",Vale a Pena subir a serra é incrível o percurso e a visão. A cada curva da vontade de parar e tirar fotos. Melhor em dias claros pois no topo da serra geralmente tem neblina. Mas de qualquer forma vale a subida ou descida.,nov de 2015 • Casais,Vista Incrível
Natalia N,"Porto Alegre, RS","Sobre subir e descer a Serra de moto, muito legal! Tenso, até perigoso, mas uma aventura indispensável. Sobre a vista, teremos que voltar, estava chovendo e não se enxergava nada. Uma pena. Bom que a região da Serra Catarinense é  linda, com cidades hospitaleiras, que dá mesmo gosto de ter que voltar!",nov de 2015 • Casais,Teremos que voltar
Suélen d,17 contribuições,"A vista é incrível, fazendo jus ao bela e Santa Catarina!",jun de 2015 • Família,De tirar o fôlego!
Rubens R,"São Bernardo do Campo, SP","Ótima escolha para passeios em casais. Localizado fácil, sem chances de se perder, porém uma serrinha ""brava"" para subir, eu evitaria ir em dia de chuva.",nov de 2015 • Casais,Passeio nota 10
Wesley S,"Curitiba, PR","Essa serra é incrível. Passar por ela pode dar enjoo, tome um dramim. A paisagem é maravilhosa. A imagem e a paisagem Vale MUITO a pena.",dez de 2014 • Família,Vista incrível
Rodrigo_Bitencourt,"Florianópolis, SC","Simplesmente deslumbrante essa serra. De carro, moto ou bicicleta, é um passeio de total imersão na natureza. Praticamente intocável, essa parte da serra faz quem viaja pela região sempre parar para um lanchinho rápido e fotos, muitas fotos.",dez de 2014,Deslumbrante!
Fabiano de Cezaro,"Catalão, GO","Fiz um desvio de rota na viagem justamente para visitar o lugar, foi maravilhoso. É surpreendente a beleza da serra vista de cima. Impressiona a quantidade de curvas para descer a serra. São aproximadamente 1000 metros de altitude entre o topo e o pé da serra. ",fev de 2015,Lugar lindo
byrichter,"Jaraguá do Sul, SC","Conhecer a serra é maravilhar-se com a natureza ao seu redor que lhe apresenta paisagens de lhe tirar o fôlego. Estrada bem iluminada, com barzinho durante a subida no qual você pode dar uma paradinha para um cafezinho e curtir o visual para depois continuar a viagem. Não esqueça sua câmera fotográfica/smart pois com certeza a beleza do lugar renderá boas fotos!",jul de 2015 • Amigos,Lugar lindo
Leonardo D,"Cabo de Santo Agostinho, PE","São 7 km de estrada extremamente sinuosa cheia de curvas, com diversos paradores pelo caminho, a vista é simplesmente linda.",out de 2015 • Amigos,Sensacional
Scharlene,"Concórdia, SC","É incrível a vista lá de cima. É incrível parar no meio da serra para tirar belas fotos. E olhar de baixo pra cima, é maravilhoso. Amei",dez de 2014,Linda
Patricia S,"Criciúma, SC",Um dos lugares mais lindos que já conheço! Vista espetacular! Uma obra de Deus mesmo! Sempre visitamos o lugar...,ago de 2015,Magnífico!
EuGenioRodrigo,"Joinville, SC","É um local muito bonito, ao qual a natureza fez o seu melhor trabalho. Eu recomendo duas visitas ao local, uma em dia ensolarado para vislumbrar o tamanho da serra e a quantidade de curvas da rodovia e outra em um dia com bastante neblina para sentir o frio na espinha devido a baixa visibilidade.",nov de 2015 • Casais,Lugar maravilhoso
